Security Code,status,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
532707,1,Dynemic Products Ltd.,DYNPRO,DYNEMIC PRODUCTS LTD.,Active,B ,10,INE256H01015,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals
500125,1,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1,INE126A01031,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar
590022,1,Eastern Silk Industries Limited,EASTSILK,EASTERN SILK INDUSTRIES LTD.,Active,T ,2,INE962C01027,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles
532751,1,EASUN REYROLLE LTD.,EASUNREYRL,EASUN REYROLLE LTD.,Active,Z ,2,INE268C01029,Other Elect.Equip./ Prod.,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment/ Products
543272,1,Easy Trip Planners Limited,EASEMYTRIP,Easy Trip Planners Ltd,Active,B ,2,INE07O001018,Travel Support Services,Equity,CDGS (Consumer Discretionary Goods & Services),"Hotels, Restaurants & Tourism","Hotels, Restaurants & Tourism",Travel Support Services
532927,1,eClerx Services Limited,ECLERX,ECLERX SERVICES LTD.,Active,A ,10,INE738I01010,BPO/KPO,Equity,Information Technology,Software & Services,IT Software & Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
532922,1,Edelweiss Financial Services Ltd.,EDELWEISS,Edelweiss Financial Services Ltd.,Active,A ,1,INE532F01054,Holding Companies,Equity,Finance,Other Financial Services,Other Financial Services,Holding Companies
532696,1,Educomp Solutions Ltd,EDUCOMP,EDUCOMP SOLUTIONS LTD.,Active,Z ,2,INE216H01027,Education,Equity,CDGS (Consumer Discretionary Goods & Services),Diversified Consumer Services,Diversified Consumer Services,Education
505200,1,Eicher Motors Ltd.,EICHERMOT,EICHER MOTORS LTD.,Active,A ,1,INE066A01021,2/3 Wheelers,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Automobiles,2/3 Wheelers
523127,1,"EIH Associated Hotels Ltd.,",EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$,Active,B ,10,INE276C01014,Hotels,Equity,CDGS (Consumer Discretionary Goods & Services),"Hotels, Restaurants & Tourism","Hotels, Restaurants & Tourism",Hotels
500840,1,EIH Ltd,EIHOTEL,EIH LTD.,Active,A ,2,INE230A01023,Hotels,Equity,CDGS (Consumer Discretionary Goods & Services),"Hotels, Restaurants & Tourism","Hotels, Restaurants & Tourism",Hotels
523708,1,"EIMCO Elecon India Ltd.,",EIMCOELECO,EIMCO ELECON (INDIA) LTD.,Active,B ,10,INE158B01016,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery
505700,1,"Elecon Engineering Co.Ltd.,",ELECON,ELECON ENGINEERING CO.LTD.,Active,A ,2,INE205B01023,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery
500128,1,"Electrosteel Castings Ltd.,",ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1,INE086A01029,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products
526608,1,Electrotherm (India) Ltd,ELECTHERM,ELECTROTHERM (INDIA) LTD.,Active,B ,10,INE822G01016,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products
522074,1,"Elgi Equipments Ltd.,",ELGIEQUIP,ELGI EQUIPMENTS LTD.,Active,A ,1,INE285A01027,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery
517477,1,Elnet Technologies Ltd.,ELNET,ELNET TECHNOLOGIES LTD.-$,Active,X ,10,INE033C01019,IT Software Products,Equity,Information Technology,Software & Services,IT Software & Services,Software Products
533218,1,EMAMI REALTY LIMITED,EMAMIREAL,Emami Realty Ltd,Active,T ,2,INE778K01012,Realty,Equity,CDGS (Consumer Discretionary Goods & Services),Realty,Realty,Realty
532737,1,Emkay Global Financial Services Ltd,EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LTD.,Active,B ,10,INE296H01011,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services
533161,1,Emmbi Industries Limited,EMMBI,Emmbi Industries Ltd,Active,B ,10,INE753K01015,Containers & Packaging,Equity,Industrials,General Industrials,General Industrials,Containers & Packaging
540153,1,Endurance Technologies Limited,ENDURANCE,Endurance Technologies Ltd,Active,A ,10,INE913H01037,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment
532219,1,Energy Development Company Ltd.,ENERGYDEV,ENERGY DEVELOPMENT COMPANY LTD.,Active,T ,10,INE306C01019,Electric Utilities,Equity,Utilities,Utilities,Utilities,Electric Utilities
532178,1,Engineers India Ltd.,ENGINERSIN,ENGINEERS INDIA LTD.,Active,A ,5,INE510A01028,Consulting Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Consulting Services
532700,1,Entertainment Network (India) Ltd,ENIL,ENTERTAINMENT NETWORK (INDIA) LTD.,Active,B ,10,INE265F01028,Broadcasting & Cable TV,Equity,CDGS (Consumer Discretionary Goods & Services),Media,Media,Broadcasting & Cable TV
500135,1,EPL LIMITED,EPL,EPL Ltd,Active,A ,2,INE255A01020,Containers & Packaging,Equity,Industrials,General Industrials,General Industrials,Containers & Packaging
590057,1,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED,EQUIPPP,Equippp Social Impact Technologies Ltd,Active,B ,1,INE217G01035,IT Software Products,Equity,Information Technology,Software & Services,IT Software & Services,Software Products
539844,1,Equitas Holdings Limited,EQUITAS,Equitas Holdings Ltd,Active,A ,10,INE988K01017,Holding Companies,Equity,Finance,Other Financial Services,Other Financial Services,Holding Companies
543243,1,Equitas Small Finance Bank Limited,EQUITASBNK,Equitas Small Finance Bank Ltd,Active,A ,10,INE063P01018,Banks,Equity,Finance,Banks,Banks,Banks
540596,1,Eris Lifesciences Limited,ERIS,Eris Lifesciences Ltd,Active,A ,1,INE406M01024,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals
533261,1,Eros International Media Limited,EROSMEDIA,EROS INTERNATIONAL MEDIA LTD.,Active,B ,10,INE416L01017,Movies & Entertainment,Equity,CDGS (Consumer Discretionary Goods & Services),Media,Media,Movies & Entertainment
500133,1,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Active,A ,10,INE284A01012,Other Industrial Goods,Equity,Industrials,Capital Goods,Machinery,Other Industrial Goods
500495,1,"Escorts Limited,",ESCORTS,ESCORTS LTD.,Active,A ,10,INE042A01014,Commercial Vehicles,Equity,Industrials,Capital Goods,Machinery,"Construction, Agricultural & Commercial Vehicles"
533704,1,Essar Shipping Ltd,ESSARSHPNG,ESSAR SHIPPING LTD.,Active,T ,10,INE122M01019,Shipping,Equity,Industrials,Transportation,Transport Services,Shipping
500136,1,"Ester Industries Ltd.,",ESTER,ESTER INDUSTRIES LTD.,Active,B ,5,INE778B01029,Containers & Packaging,Equity,Industrials,General Industrials,General Industrials,Containers & Packaging
531508,1,Eveready Industries India Ltd.,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,Active,A ,5,INE128A01029,Non-Durable Household Prod.,Equity,FMCG (Fast Moving Consumer Goods),Household & Personal Products,Household Products,Other Non-Durable Household Products
508906,1,Everest Industries Ltd.,EVERESTIND,EVEREST INDUSTRIES LTD.,Active,B ,10,INE295A01018,Cement & Cement Products,Equity,Basic Materials,Construction Materials,Cement & Cement Products,Cement & Cement Products
532684,1,Everest Kanto Cylinders Ltd.,EKC,EVEREST KANTO CYLINDER LTD.,Active,B ,2,INE184H01027,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products
533090,1,Excel Realty N Infra Limited,EXCEL,Excel Realty N Infra Ltd,Active,T ,10,INE688J01015,BPO/KPO,Equity,Information Technology,Software & Services,IT Software & Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
500650,1,"Excell Industries Ltd.,",EXCELINDUS,EXCEL INDUSTRIES LTD.,Active,B ,5,INE369A01029,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals
500086,1,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1,INE302A01020,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment
533121,1,EXPLEO SOLUTIONS LIMITED,EXPLEOSOL,Expleo Solutions Ltd,Active,B ,10,INE201K01015,IT Consulting & Software,Equity,Information Technology,Software & Services,IT Software & Services,IT Consulting & Application Software
543327,1,Exxaro Tiles Limited,EXXARO,Exxaro Tiles Ltd,Active,B ,10,INE0GFE01018,Furniture-Furnishing-Paints,Equity,CDGS (Consumer Discretionary Goods & Services),Consumer Durables,Consumer Durables,"Furniture, Furnishing & Paints"
543252,1,Fairchem Organics Limited,FAIRCHEMOR,Fairchem Organics Ltd,Active,B ,10,INE0DNW01011,Commodity Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Commodity Chemicals
532666,1,FCS Software Solutions Ltd.,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,Active,T ,1,INE512B01022,IT Consulting & Software,Equity,Information Technology,Software & Services,IT Software & Services,IT Consulting & Application Software
531599,1,FDC Ltd.,FDC,FDC LTD.,Active,A ,1,INE258B01022,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals
500469,1,Federal Bank Ltd.,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2,INE171A01029,Banks,Equity,Finance,Banks,Banks,Banks
505744,1,Federal-Mogul Goetze (India) Ltd,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.,Active,B ,10,INE529A01010,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment
590024,1,Fertilizers and Chemicals Travancore Limited,FACT,FERTILIZERS & CHEMICALS TRAVANCORE LTD.,Active,B ,10,INE188A01015,Fertilizers,Equity,Basic Materials,Chemicals & Petrochemicals,Fertilizers & Agricultural Chemicals,Fertilizers
507910,1,FIBERWEB (INDIA) LTD.,FIBERWEB,FIBERWEB (INDIA) LTD.,Active,B ,10,INE296C01020,Plastic Products,Equity,Industrials,General Industrials,General Industrials,Plastic Products
532768,1,FIEM INDUSTRIES LIMITED,FIEMIND,FIEM INDUSTRIES LTD.,Active,B ,10,INE737H01014,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment
526227,1,Filatex India Ltd.,FILATEX,FILATEX INDIA LTD.-$,Active,A ,2,INE816B01027,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles
541557,1,Fine Organic Industries Limited,FINEORG,Fine Organic Industries Ltd,Active,A ,5,INE686Y01026,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals
533333,1,Fineotex Chemical Limited,FCL,FINEOTEX CHEMICAL LTD.,Active,B ,2,INE045J01026,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals
543386,1,Fino Payments Bank Limited,FINOPB,Fino Payments Bank Ltd,Active,B ,10,INE02NC01014,Banks,Equity,Finance,Banks,Banks,Banks
500144,1,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,Active,A ,2,INE235A01022,Other Elect.Equip./ Prod.,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment/ Products
532809,1,Firstsource Solutions Ltd.,FSL,FIRSTSOURCE SOLUTIONS LTD.,Active,A ,10,INE684F01012,BPO/KPO,Equity,Information Technology,Software & Services,IT Software & Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
533638,1,FLEXITUFF VENTURES INTERNATIONAL LIMITED,FLEXITUFF,Flexituff Ventures International Ltd,Active,T ,10,INE060J01017,Plastic Products,Equity,Industrials,General Industrials,General Industrials,Plastic Products
543312,1,Focus Business Solution Limited,FOCUS,Focus Business Solution Ltd,Active,M ,10,INE0DXR01010,IT Consulting & Software,Equity,Information Technology,Software & Services,IT Software & Services,IT Consulting & Application Software
507552,1,Foods & Inns Ltd.,FOODSIN,FOODS & INNS LTD.,Active,B ,1,INE976E01023,Other Food Products,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Food Products,Other Food Products
500033,1,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10,INE451A01017,Cars & Utility Vehicles,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Automobiles,Cars & Utility Vehicles
532843,1,Fortis Healthcare Ltd,FORTIS,FORTIS HEALTHCARE LTD.,Active,A ,10,INE061F01013,Healthcare Facilities,Equity,Healthcare,Healthcare Services,Healthcare Services,Healthcare Facilities
500150,1,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10,INE519A01011,Commodity Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Commodity Chemicals
543384,1,FSN E-Commerce Ventures Limited,NYKAA,FSN E-Commerce Ventures Ltd,Active,B ,1,INE388Y01029,Internet & Catalogue Retail,Equity,CDGS (Consumer Discretionary Goods & Services),Retailing,Retailing,Internet & Catalogue Retail
533400,1,Future Consumer Limited,FCONSUMER,Future Consumer Ltd,Active,A ,6,INE220J01025,Packaged Foods,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Food Products,Packaged Foods
523574,1,Future Enterprises Limited,FEL,Future Enterprises Ltd,Active,B ,2,INE623B01027,Department Stores,Equity,CDGS (Consumer Discretionary Goods & Services),Retailing,Retailing,Department Stores
570002,1,Future Enterprises Limited,FELDVR,Future Enterprises Ltd_DVR,Active,B ,2,IN9623B01058,Department Stores,Equity,CDGS (Consumer Discretionary Goods & Services),Retailing,Retailing,Department Stores
536507,1,Future Lifestyle Fashions Limited,FLFL,Future Lifestyle Fashions Ltd,Active,B ,2,INE452O01016,Department Stores,Equity,CDGS (Consumer Discretionary Goods & Services),Retailing,Retailing,Department Stores
533296,1,Future Market Networks Limited,FMNL,FUTURE MARKET NETWORKS LTD.,Active,B ,10,INE360L01017,Department Stores,Equity,CDGS (Consumer Discretionary Goods & Services),Retailing,Retailing,Department Stores
540064,1,Future Retail Ltd.,FRETAIL,Future Retail Ltd,Active,A ,2,INE752P01024,Department Stores,Equity,CDGS (Consumer Discretionary Goods & Services),Retailing,Retailing,Department Stores
540798,1,Future Supply Chain Solutions Limited,FSC,Future Supply Chain Solutions Ltd,Active,B ,10,INE935Q01015,Transportation - Logistics,Equity,Industrials,Transportation,Transport Services,Logistics
540124,1,G N A Axles Limited,GNA,G N A Axles Ltd,Active,B ,10,INE934S01014,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment
